Sat Oct  7 06:13:54 2023 Fold 0, Epoch 7, lr: 0.0000945, train loss: 0.44207, valid loss: 0.50472, metric: 0.520836.
Sat Oct  7 07:51:37 2023 Fold 0, Epoch 8, lr: 0.0000657, train loss: 0.43860, valid loss: 0.50244, metric: 0.507406.
Sat Oct  7 09:29:20 2023 Fold 0, Epoch 9, lr: 0.0000428, train loss: 0.43876, valid loss: 0.50496, metric: 0.508175.
Sat Oct  7 11:19:54 2023 Fold 0, Epoch 10, lr: 0.0000281, train loss: 0.44010, valid loss: 0.50111, metric: 0.564182.
Fri Oct 13 10:45:04 2023 Fold 0, Epoch 1, lr: 0.0002300, train loss: 0.58189, valid loss: 0.51561, metric: 0.750368.
Fri Oct 13 11:10:53 2023 Fold 0, Epoch 2, lr: 0.0002249, train loss: 0.53088, valid loss: 0.56400, metric: 0.653392.
Fri Oct 13 11:26:21 2023 Fold 0, Epoch 3, lr: 0.0002102, train loss: 0.50843, valid loss: 0.54175, metric: 0.702669.
Fri Oct 13 11:52:14 2023 Fold 0, Epoch 1, lr: 0.0008000, train loss: 0.59339, valid loss: 0.60784, metric: 0.475516.
Fri Oct 13 12:26:26 2023 Fold 0, Epoch 1, lr: 0.0001000, train loss: 0.56671, valid loss: 0.53212, metric: 0.747354.
Fri Oct 13 12:49:48 2023 Fold 0, Epoch 2, lr: 0.0000981, train loss: 0.51269, valid loss: 0.52321, metric: 0.739685.
Fri Oct 13 13:13:13 2023 Fold 0, Epoch 3, lr: 0.0000926, train loss: 0.47642, valid loss: 0.53771, metric: 0.744377.
Fri Oct 13 13:36:31 2023 Fold 0, Epoch 4, lr: 0.0000841, train loss: 0.44787, valid loss: 0.54775, metric: 0.780161.
Fri Oct 13 14:00:19 2023 Fold 0, Epoch 5, lr: 0.0000734, train loss: 0.39310, valid loss: 0.61279, metric: 0.681445.
Fri Oct 13 14:24:26 2023 Fold 0, Epoch 6, lr: 0.0000615, train loss: 0.34284, valid loss: 0.55729, metric: 0.741011.
Fri Oct 13 14:48:01 2023 Fold 0, Epoch 7, lr: 0.0000496, train loss: 0.29020, valid loss: 0.61275, metric: 0.759999.
Fri Oct 13 15:11:47 2023 Fold 0, Epoch 8, lr: 0.0000389, train loss: 0.24297, valid loss: 0.63558, metric: 0.739147.
Fri Oct 13 15:35:02 2023 Fold 0, Epoch 9, lr: 0.0000304, train loss: 0.20596, valid loss: 0.65499, metric: 0.752662.
Fri Oct 13 20:28:22 2023 Fold 0, Epoch 1, lr: 0.0001000, train loss: 0.46414, valid loss: 0.45774, metric: 0.743391.
Fri Oct 13 22:05:51 2023 Fold 0, Epoch 2, lr: 0.0000981, train loss: 0.40362, valid loss: 0.40681, metric: 0.780576.
Fri Oct 13 23:43:21 2023 Fold 0, Epoch 3, lr: 0.0000926, train loss: 0.36928, valid loss: 0.42587, metric: 0.768727.
Sat Oct 14 01:20:47 2023 Fold 0, Epoch 4, lr: 0.0000841, train loss: 0.34008, valid loss: 0.39162, metric: 0.830224.
Sat Oct 14 02:58:13 2023 Fold 0, Epoch 5, lr: 0.0000734, train loss: 0.31460, valid loss: 0.38191, metric: 0.812616.
Sat Oct 14 04:35:38 2023 Fold 0, Epoch 6, lr: 0.0000615, train loss: 0.27568, valid loss: 0.39927, metric: 0.801730.
Sat Oct 14 06:13:02 2023 Fold 0, Epoch 7, lr: 0.0000496, train loss: 0.23116, valid loss: 0.37496, metric: 0.837334.
Sat Oct 14 07:50:27 2023 Fold 0, Epoch 8, lr: 0.0000389, train loss: 0.18420, valid loss: 0.41044, metric: 0.832834.
